Iteration,Alpha
68,"0.18326710651817915,0.17815656304385222,0.16612649019110093,0.16073135654234577,0.1558025521048902,0.1559159315996317"
69,"0.18297786830206697,0.1783356190048911,0.16622594536077792,0.16074620620595054,0.1558264421955062,0.15588791893080722"
70,"0.18301639992340457,0.1784079970353556,0.16623053927655956,0.1605917111148522,0.1558977792002837,0.15585557344954443"
71,"0.18310216344230615,0.1785051422026565,0.16622254000418257,0.16061258772172518,0.1557983449912775,0.15575922163785202"
72,"0.18362296766592953,0.17867726888837523,0.16613417161460542,0.16043002040392884,0.15558171205469085,0.15555385937247027"
73,"0.1833429979426531,0.17890271910059524,0.1661558072904867,0.1604858091391231,0.15554775857067052,0.15556490795647138"
74,"0.1832956600908776,0.1791373568940574,0.16607037675706535,0.16055425931588022,0.15560029719316568,0.1553420497489538"
75,"0.1833833176072833,0.1794299317410711,0.16588384067650755,0.1605285905990588,0.15546293097432726,0.155311388401752"
76,"0.18364620323757097,0.17960566361668917,0.16570021234254526,0.1604282144964247,0.15529591325802578,0.15532379304874414"
77,"0.18397973380580807,0.1802007005283991,0.1654823269121601,0.16010344219917413,0.15500352548078414,0.1552302710736745"
78,"0.184157283181226,0.18001505471147494,0.16546683145434546,0.15999652859670677,0.1550317571417038,0.15533254491454296"
79,"0.18440469928472364,0.17974919903479267,0.1653397697711724,0.16012327922790703,0.15492736821124994,0.15545568447015434"
80,"0.18477715807286685,0.1799520591466679,0.16525225080844952,0.15990260459470834,0.15478626326023126,0.15532966411707605"
81,"0.18525841296172815,0.17969659639764388,0.16517646322784074,0.15981842918877923,0.15476704228777166,0.15528305593623618"
82,"0.18554246332260477,0.17948599322821573,0.16525343748331225,0.15974858228680694,0.1547615444772522,0.15520797920180807"
83,"0.1860231804121168,0.17962409364265128,0.16527757952322913,0.1595339679492862,0.15454082775158823,0.15500035072112844"
84,"0.1865472420846189,0.17927679171654323,0.1652175111107705,0.1595463729482155,0.15450488205108143,0.15490720008877046"
85,"0.18682583557366098,0.17897312305212013,0.1651488045859578,0.15966659889548576,0.1545529648767866,0.15483267301598885"
86,"0.18698122814403598,0.17872831652941967,0.16532849444215855,0.159747077935738,0.15473297522514481,0.1544819077235031"
87,"0.18688517997103435,0.1787502322317809,0.16527900390152128,0.15982694940445236,0.15479088526042892,0.1544677492307822"
88,"0.18677465913108843,0.1785814093588614,0.16528618731922134,0.15990168651375405,0.1547094173185284,0.1547466403585463"
89,"0.1870476631917074,0.1787415546054361,0.16514329812589643,0.15977940246943279,0.1546253001722503,0.15466278143527706"
90,"0.18743744073216267,0.17927308996625602,0.165163244680185,0.15940506585451553,0.15431002486117346,0.15441113390570724"
91,"0.18767119590172196,0.17920501383693244,0.16513422957429197,0.15936137558571195,0.1542437707344309,0.15438441436691072"
92,"0.18754057129526816,0.17916624203443646,0.16519242500000414,0.15939900383841812,0.1542837485705493,0.15441800926132387"
93,"0.18730714506043464,0.1793039994177845,0.1653325675401109,0.15942273949709848,0.15424877191021993,0.15438477657435162"
94,"0.18767453451826177,0.18011374594289378,0.16542729164959283,0.15909821494422963,0.15380633258229134,0.15387988036273065"
95,"0.1872874405434735,0.18020532463720798,0.16538993299310134,0.15916515975390214,0.15396275150951547,0.15398939056279956"
96,"0.18751392054569063,0.18025324176639995,0.16544791749686752,0.15901433407736143,0.1538505713538019,0.15392001475987857"
97,"0.18771559693882647,0.18000042358315482,0.16536205982850471,0.15902466244476526,0.15388254750909167,0.15401470969565692"
98,"0.1876501367863022,0.1802643909598509,0.16539801141143592,0.15894582142665004,0.153782722723284,0.1539589166924769"
99,"0.1874056135682793,0.18023959776071893,0.1655362031665051,0.15901200614535796,0.15384841180937983,0.15395816754975894"
100,"0.1873097532374122,0.18021983656440047,0.16569454857072133,0.15911867658674905,0.1537814909212259,0.153875694119491"
101,"0.18707364059192444,0.17959668625210162,0.1657578356514311,0.15950926751189337,0.1541474220296281,0.1539151479630213"
